FirstName,LastName,Email,Position,EquipmentModel,SystemAccount
Name1,Surname1,user1@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_1
Name2,Surname2,user2@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_2
Name3,Surname3,user3@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_3
Name4,Surname4,user4@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_4
Name5,Surname5,user5@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_5
Name6,Surname6,user6@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_6
Name7,Surname7,user7@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_7
Name8,Surname8,user8@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_8
Name9,Surname9,user9@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_9
Name10,Surname10,user10@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_10
Name11,Surname11,user11@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_11
Name12,Surname12,user12@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_12
Name13,Surname13,user13@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_13
Name14,Surname14,user14@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_14
Name15,Surname15,user15@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_15
Name16,Surname16,user16@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_16
Name17,Surname17,user17@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_17
Name18,Surname18,user18@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_18
Name19,Surname19,user19@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_19
Name20,Surname20,user20@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_20
Name21,Surname21,user21@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_21
Name22,Surname22,user22@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_22
Name23,Surname23,user23@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_23
Name24,Surname24,user24@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_24
